                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87407,                0.44841,                0.94733,                0.67244,                0.73538,                0.73661,                0.49051,                 1.2016,                 0.6614,                   1.13,                0.00307,                0.00307,                0.00307
                     37,                0.86117,                0.44102,                0.94293,                0.72271,                 0.6887,                0.73534,                0.48793,                 1.2038,                0.66555,                 1.1334,               0.002872,               0.002872,               0.002872
                     38,                0.84276,                 0.4287,                0.93376,                 0.6846,                0.72788,                0.73161,                0.48579,                 1.2047,                0.66901,                 1.1344,               0.002674,               0.002674,               0.002674
                     39,                0.84032,                0.42571,                0.92893,                0.72516,                0.68668,                 0.7304,                0.48516,                 1.2051,                0.67182,                 1.1332,               0.002476,               0.002476,               0.002476
                     40,                0.82782,                0.41923,                0.92324,                0.68981,                0.72513,                0.73069,                0.48489,                 1.2058,                0.67415,                 1.1323,               0.002278,               0.002278,               0.002278
                     41,                0.79257,                0.38104,                 0.9203,                0.69588,                0.72005,                0.73083,                 0.4858,                 1.2066,                0.67718,                 1.1336,                0.00208,                0.00208,                0.00208
                     42,                0.77081,                0.36839,                0.91412,                 0.6999,                0.71426,                0.73143,                0.48547,                  1.207,                0.68134,                 1.1359,               0.001882,               0.001882,               0.001882
                     43,                0.75177,                0.35811,                0.90894,                0.69856,                0.70961,                0.72998,                0.48466,                 1.2072,                0.68488,                 1.1389,               0.001684,               0.001684,               0.001684
                     44,                0.73614,                0.35019,                0.90688,                 0.6971,                0.71233,                0.72787,                0.48302,                 1.2076,                0.68911,                  1.143,               0.001486,               0.001486,               0.001486
                     45,                0.72073,                0.34172,                0.90183,                0.69366,                0.71027,                0.72807,                 0.4836,                 1.2085,                0.69316,                 1.1472,               0.001288,               0.001288,               0.001288
                     46,                0.70624,                0.33442,                0.89614,                0.71875,                0.68616,                0.72526,                0.48234,                  1.209,                0.69674,                 1.1502,                0.00109,                0.00109,                0.00109
                     47,                0.69328,                0.32706,                0.89095,                0.73394,                0.67826,                0.72418,                0.48238,                 1.2096,                0.70009,                 1.1531,               0.000892,               0.000892,               0.000892
                     48,                0.67992,                0.32096,                0.88622,                0.72726,                0.68171,                0.72337,                0.48116,                 1.2101,                0.70318,                 1.1557,               0.000694,               0.000694,               0.000694
                     49,                0.66727,                0.31415,                0.88292,                0.72975,                0.68015,                0.72237,                0.48076,                 1.2106,                0.70666,                  1.158,               0.000496,               0.000496,               0.000496
                     50,                0.65512,                0.30883,                0.87922,                0.72109,                0.68723,                0.72039,                0.47947,                  1.211,                0.70898,                 1.1604,               0.000298,               0.000298,               0.000298
