                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3402,                 1.8852,                 2.3591,                0.69467,                0.61318,                0.66108,                0.43399,                 2.4051,                 1.9274,                 2.4424,             0.00055964,             0.00055964,             0.00055964
                     35,                  2.302,                 1.8557,                 2.3471,                0.67479,                0.61106,                0.65749,                0.42898,                 2.4208,                  1.881,                 2.4539,              0.0005533,              0.0005533,              0.0005533
                     36,                 2.2714,                 1.8314,                 2.3302,                0.70846,                0.60136,                 0.6623,                0.43623,                 2.3911,                 1.8645,                 2.4466,             0.00054695,             0.00054695,             0.00054695
                     37,                  2.316,                 1.8309,                 2.3349,                0.69479,                0.61112,                0.66326,                0.43452,                 2.3987,                 1.9059,                 2.4557,             0.00054061,             0.00054061,             0.00054061
                     38,                 2.2583,                 1.8067,                 2.3262,                0.74732,                 0.6053,                0.68599,                0.45294,                 2.3809,                 1.8047,                 2.4389,             0.00053426,             0.00053426,             0.00053426
                     39,                 2.2556,                 1.7721,                 2.2988,                 0.7374,                 0.5963,                0.66955,                0.44331,                 2.3681,                 1.8423,                 2.4415,             0.00052792,             0.00052792,             0.00052792
                     40,                   2.27,                 1.7683,                 2.3057,                0.71906,                0.62128,                0.68837,                 0.4517,                 2.3781,                 1.7986,                 2.4333,             0.00052157,             0.00052157,             0.00052157
                     41,                 2.2512,                 1.7296,                 2.3147,                0.73618,                0.62348,                0.68936,                0.45358,                 2.3548,                 1.8046,                 2.4372,             0.00051523,             0.00051523,             0.00051523
                     42,                 2.2342,                 1.7073,                 2.3105,                0.73976,                 0.6126,                0.68799,                0.44946,                 2.3825,                 1.7919,                 2.4503,             0.00050889,             0.00050889,             0.00050889
                     43,                 2.2103,                 1.7155,                 2.2997,                0.75302,                0.61204,                0.68697,                0.44773,                 2.3619,                 1.7968,                 2.4311,             0.00050254,             0.00050254,             0.00050254
                     44,                 2.2016,                 1.6838,                 2.2969,                0.73624,                0.60982,                0.67848,                0.44763,                 2.3726,                 1.8069,                 2.4338,              0.0004962,              0.0004962,              0.0004962
                     45,                 2.1955,                 1.6666,                 2.2649,                0.74686,                0.60886,                0.69479,                0.45576,                 2.3622,                 1.7758,                 2.4197,             0.00048985,             0.00048985,             0.00048985
                     46,                 2.1892,                 1.6577,                 2.2708,                0.71857,                0.62353,                0.69649,                0.46108,                 2.3458,                 1.7464,                   2.42,             0.00048351,             0.00048351,             0.00048351
                     47,                 2.1863,                 1.6558,                 2.2548,                0.71159,                0.63192,                0.68608,                0.45605,                 2.3344,                 1.7925,                 2.4146,             0.00047716,             0.00047716,             0.00047716
                     48,                 2.1657,                 1.6297,                 2.2699,                 0.7176,                0.64884,                 0.7008,                0.46214,                 2.3403,                 1.7513,                 2.4336,             0.00047082,             0.00047082,             0.00047082
                     49,                 2.1578,                  1.628,                 2.2645,                 0.7142,                0.64863,                0.69901,                0.46099,                 2.3417,                  1.747,                 2.4239,             0.00046448,             0.00046448,             0.00046448
